ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",42255,0.0237,0.2314,0.7677,0.0009,34129,0.8878,0.1122,0.05,0.0252,0.0056,0.029,0.0007,
"2",40789,-0.0118,0.2815,0.7173,0.0011,33154,0.8128,0.1872,0.035,0.1108,0.0156,0.0243,0.0007,
"3",42143,0.021,0.2997,0.6963,0.004,36522,0.7818,0.2182,0.0448,0.0915,0.0637,0.0168,0.0012,
"4",41992,0.0173,0.2312,0.7648,0.0039,33136,0.8941,0.1059,0.0266,0.0375,0.0053,0.0311,0.0007,
"5",42142,0.0209,0.291,0.7047,0.0043,32908,0.7782,0.2218,0.0834,0.103,0.0114,0.0224,0.0012,
"6",40247,-0.025,0.2747,0.7228,0.0025,31068,0.8012,0.1988,0.0345,0.1156,0.0242,0.0201,0.0008,
"7",40292,-0.0239,0.3319,0.6667,0.0014,31159,0.7656,0.2344,0.0216,0.1853,0.0048,0.0213,0.0006,
"8",41145,-0.0032,0.3459,0.6521,0.002,32693,0.7283,0.2717,0.0377,0.2033,0.0091,0.0208,0.0016,
"9",41974,0.0169,0.3063,0.6916,0.0021,32676,0.7531,0.2469,0.0553,0.1601,0.0144,0.0186,0.0017,
"10",42158,0.0213,0.2988,0.6962,0.0049,32069,0.7753,0.2247,0.0794,0.0961,0.0239,0.0246,0.0008,
"11",40357,-0.0223,0.3499,0.6488,0.0013,31934,0.7383,0.2617,0.0252,0.2097,0.0049,0.019,0.0011,
"12",40274,-0.0243,0.4984,0.4996,0.002,32034,0.4623,0.5377,0.0724,0.4467,0.0083,0.0157,0.0012,
"13",40433,-0.0205,0.2558,0.7431,0.0011,32154,0.7738,0.2262,0.0237,0.1693,0.0146,0.0159,0.001,
"14",40858,-0.0102,0.3863,0.6117,0.002,32085,0.6662,0.3338,0.0526,0.2564,0.0066,0.0213,0.0006,
"15",42302,0.0248,0.4446,0.5524,0.003,32544,0.4483,0.5517,0.1539,0.3162,0.053,0.0286,0.0029,
"16",41781,0.0122,0.3562,0.6375,0.0063,31015,0.714,0.286,0.0754,0.1698,0.0198,0.0195,0.0018,
"17",42109,0.0201,0.2779,0.7148,0.0074,33467,0.8769,0.1231,0.0364,0.0489,0.0091,0.0243,0.0015,
"18",42229,0.023,0.3158,0.6783,0.006,32671,0.776,0.224,0.0828,0.1009,0.0172,0.0216,0.001,
"19",41475,0.0048,0.3847,0.6082,0.0072,32693,0.6556,0.3444,0.1771,0.1318,0.0191,0.0265,0.0017,
"20",42147,0.0211,0.3156,0.6749,0.0094,32880,0.7329,0.2671,0.1008,0.103,0.0419,0.0199,0.0015,
"21",42304,0.0249,0.2761,0.7192,0.0047,31721,0.7493,0.2507,0.0735,0.0794,0.0779,0.0151,0.0007,
"22",42154,0.0212,0.3325,0.6602,0.0074,34044,0.7713,0.2287,0.0641,0.1043,0.0423,0.0165,0.0022,
"23",40323,-0.0231,0.5955,0.4004,0.0042,31641,0.4255,0.5745,0.1389,0.4102,0.0153,0.0196,0.002,
"24",42236,0.0232,0.3331,0.6616,0.0053,33441,0.752,0.248,0.0629,0.1288,0.0381,0.0148,0.0017,
"25",40607,-0.0162,0.6665,0.331,0.0025,30364,0.3407,0.6593,0.1236,0.5132,0.0103,0.0222,0.0014,
"26",41463,0.0045,0.3082,0.6901,0.0017,29540,0.7096,0.2904,0.0807,0.1291,0.0607,0.0213,0.0015,
"27",42108,0.0201,0.3813,0.6131,0.0056,32826,0.6757,0.3243,0.0853,0.1867,0.0319,0.0194,0.0013,
"28",40584,-0.0168,0.3589,0.6348,0.0062,30601,0.7023,0.2977,0.0811,0.1761,0.0191,0.0198,0.0011,
"29",42241,0.0233,0.3605,0.6374,0.0021,33159,0.762,0.238,0.0311,0.1747,0.0065,0.0245,0.0006,
"30",41619,0.0083,0.3433,0.6538,0.0029,31956,0.7492,0.2508,0.0474,0.1753,0.0079,0.0207,0.0003,
"31",42128,0.0206,0.7052,0.2927,0.0021,32266,0.3534,0.6466,0.097,0.5108,0.0305,0.0175,0.0014,
"32",40616,-0.016,0.3788,0.6186,0.0026,32415,0.686,0.314,0.0795,0.188,0.0284,0.0181,0.0019,
"33",40894,-0.0093,0.353,0.6433,0.0037,32173,0.7381,0.2619,0.042,0.177,0.0257,0.017,0.0007,
"34",42058,0.0189,0.3554,0.6396,0.0051,32027,0.6732,0.3268,0.0725,0.1838,0.0497,0.0216,0.0009,
"35",41682,0.0098,0.3131,0.6817,0.0052,30911,0.7629,0.2371,0.062,0.1107,0.0416,0.0182,0.0012,
"36",41908,0.0153,0.4082,0.5879,0.004,31374,0.6673,0.3327,0.1077,0.1852,0.0186,0.0267,0.0014,
"37",41805,0.0128,0.3727,0.6224,0.0049,31394,0.6906,0.3094,0.0755,0.1749,0.0419,0.0197,0.0011,
